step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
170.0,2,7.0,0.25925925925925924,6.505206103652873,2,34.0,0.3467235498702538,2,34.0
175.0,3,22.0,0.7333333333333333,9.008418614702613,3,22.0,0.5076499688996313,3,22.0
180.0,2,4.0,0.13333333333333333,7.405151319927233,2,14.0,0.44306652352691106,2,14.0
185.0,9,34.0,1.2592592592592593,7.216038369831073,9,34.0,0.3957234064085408,9,34.0
190.0,8,27.0,1.0384615384615385,5.311158970142516,8,57.0,0.20297172692876797,8,57.0
195.0,2,8.0,0.2962962962962963,7.7968627191829745,2,45.0,0.44394539214932766,2,45.0
200.0,1,12.0,0.41379310344827586,9.929344737040783,1,20.0,0.619048658168156,1,20.0
205.0,3,19.0,0.6129032258064516,10.433943207212051,3,19.0,0.6806843148591843,3,19.0
210.0,4,37.0,1.1935483870967742,9.532512778697459,4,37.0,0.5855697517240851,4,37.0
215.0,2,4.0,0.14814814814814814,8.429060279078216,2,24.0,0.488450739360215,2,24.0
220.0,4,13.0,0.52,8.25594737522437,4,18.0,0.4035094042516746,4,18.0
225.0,4,12.0,0.48,7.0398089462775495,4,33.0,0.42606453792289517,4,33.0
230.0,3,24.0,1.0,8.859198619110446,3,33.0,0.5906855220633781,3,33.0
235.0,3,7.0,0.25925925925925924,7.84709224234378,3,25.0,0.49746864893229387,3,25.0
240.0,8,38.0,1.4615384615384615,7.368149530964857,8,41.0,0.35803180677173946,8,41.0
245.0,7,28.0,1.0769230769230769,6.180997104904317,7,60.0,0.266525799811189,7,60.0
250.0,2,8.0,0.3076923076923077,7.67024961853814,2,47.0,0.43532675514773106,2,47.0
255.0,1,10.0,0.37037037037037035,8.51730713747265,1,19.0,0.4317337642959583,1,19.0
260.0,2,19.0,0.7307692307692307,9.624639203723392,2,19.0,0.6454121714099348,2,19.0
265.0,1,1.0,0.037037037037037035,8.336336939504072,1,1.0,0.5417670304867662,1,1.0
270.0,6,17.0,0.68,9.116698602972704,6,17.0,0.48598119046960325,6,17.0
275.0,2,5.0,0.21739130434782608,7.985087289856601,2,26.0,0.4625850522103489,2,26.0
280.0,3,5.0,0.21739130434782608,9.166398797918967,3,10.0,0.6045188214980161,3,10.0
285.0,3,7.0,0.25,8.780788125268113,3,15.0,0.5214381484771319,3,15.0
290.0,8,36.0,1.2413793103448276,7.41129185020385,8,40.0,0.3211141697961087,8,40.0
295.0,7,31.0,1.1923076923076923,5.7507451321137655,7,62.0,0.242837449568785,7,62.0
300.0,2,5.0,0.19230769230769232,6.547115043790337,2,51.0,0.3667400711618513,2,51.0
305.0,2,12.0,0.42857142857142855,8.318647924255268,2,28.0,0.424353934312258,2,28.0
310.0,2,22.0,0.6875,10.094675844199719,2,22.0,0.6684691847970874,2,22.0
315.0,2,32.0,1.0666666666666667,10.902696550260028,2,32.0,0.7739322886209393,2,32.0
320.0,3,43.0,1.5925925925925926,10.438316203520044,3,43.0,0.6939052107374997,3,43.0
325.0,1,1.0,0.04,7.818087648734254,1,5.0,0.4272463274601973,1,5.0
330.0,6,21.0,0.9545454545454546,7.9997704762228095,6,21.0,0.372193393585392,6,21.0
335.0,4,7.0,0.30434782608695654,6.975723567847006,4,31.0,0.3838481457233963,4,31.0
340.0,0,0.0,0.0,8.50887232707099,0,11.0,0.5383473196213377,0,11.0
345.0,1,1.0,0.043478260869565216,9.914241037344256,1,2.0,0.624413535319209,1,2.0
350.0,1,6.0,0.2608695652173913,10.952583648970888,1,6.0,0.7378044816574609,1,6.0
355.0,1,1.0,0.045454545454545456,10.735470877171856,1,1.0,0.7206092949964533,1,1.0
360.0,4,15.0,0.7894736842105263,9.618612958675191,4,15.0,0.5303058644743908,4,15.0
365.0,2,3.0,0.1875,6.5818184815141985,2,19.0,0.37007541905545244,2,19.0
370.0,0,0.0,0.0,9.672651971622358,0,4.0,0.578356847431971,0,4.0
375.0,1,4.0,0.18181818181818182,12.098816022629176,1,4.0,0.8144291868166251,1,4.0
