step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.39413450559359,0,0.0,0.931051945918159,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.673606007830802,0,0.0,0.9702230339862048,0,0.0,0.9791013481580305,0,0.0,0.9497930183561223,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.45669219723551,0,0.0,1.0,0,0.0,0.9975739769658375,0,0.0,0.9529434302668462,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,11.809005982015467,0,0.0,0.9790149454630765,0,0.0,0.20450268136735053,0,0.0,0.9798958922762364,0,0.0,0.8954286318657827,0,0.0
25.0,0,0.0,0.0,11.340202199146626,0,0.0,0.9605101497198126,0,0.0,0.9736438018976747,0,0.0,0.013470843144739533,0,0.0,0.8893540306265904,0,0.0
30.0,1,5.0,0.4166666666666667,10.793111855567647,0,0.0,0.6621904114509677,0,0.0,0.9416081117104809,1,5.0,0.0,0,2.0,0.8886349696984435,1,7.0
35.0,2,6.0,0.42857142857142855,9.846508298244983,2,6.0,0.49110480215984914,0,0.0,0.9443863382732618,0,0.0,1.0,0,2.0,0.9605912142942221,2,8.0
40.0,1,1.0,0.058823529411764705,10.533660784764045,1,7.0,0.584703112871176,0,0.0,0.9472377865355532,0,0.0,0.9586286676210019,0,2.0,0.9518010980892703,1,9.0
45.0,0,0.0,0.0,9.903732996938885,0,1.0,0.5775748019870488,0,2.0,0.7357869974038108,0,0.0,0.9163136178433368,0,2.0,0.6569152489691885,0,5.0
50.0,4,12.0,0.5714285714285714,8.268635553157775,1,5.0,0.38813848247443455,1,5.0,0.7897032468414787,0,0.0,0.9026756768978709,2,5.0,0.33405806545960265,4,15.0
55.0,2,11.0,0.44,8.897118574908353,1,10.0,0.7150043302354551,1,4.0,0.49719353910805436,0,1.0,0.9206440331257852,0,4.0,0.7297170363967144,2,19.0
60.0,5,19.0,0.76,8.845531599456546,2,5.0,0.5310812762538951,3,16.0,0.4835346891200412,0,1.0,0.9613384209207766,0,2.0,0.7357390630707102,5,24.0
65.0,4,17.0,0.6538461538461539,8.250904814234675,2,15.0,0.5729680388375995,1,17.0,0.46940010602816884,1,1.0,0.46470919056981175,0,2.0,0.73907449695578,4,35.0
70.0,6,18.0,0.6923076923076923,7.485017666608945,1,12.0,0.2316478616565758,3,15.0,0.45396448934548594,1,1.0,0.6277356508973897,1,3.0,0.16034961096762687,6,31.0
75.0,3,17.0,0.7083333333333334,7.585677409338554,2,11.0,1.4375363234823239e-05,0,16.0,0.1954028162097404,1,8.0,0.7398033207357532,0,6.0,0.4002923992065504,3,41.0
