step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.961130384273083,0,0.0,0.9583052100353305,0,0.0
10.0,0,0.0,0.0,13.099389091566328,0,0.0,0.9347005078878213,0,0.0
15.0,2,3.0,0.2727272727272727,10.616690922700828,2,3.0,0.7737749304101906,2,3.0
20.0,3,14.0,0.875,9.05700664656786,3,14.0,0.6153195747153204,3,14.0
25.0,6,42.0,2.0,7.124017927278691,6,42.0,0.4857724722919007,6,42.0
30.0,10,84.0,3.230769230769231,6.289573367257194,10,84.0,0.43403150242642896,10,84.0
35.0,13,147.0,4.741935483870968,6.27414053155641,13,147.0,0.4055828198405071,13,147.0
40.0,17,225.0,6.818181818181818,5.354861719756202,17,225.0,0.32239162071357136,17,225.0
45.0,21,322.0,8.944444444444445,4.435378350264152,21,322.0,0.17700147113842465,21,322.0
50.0,25,437.0,12.485714285714286,3.690682370016182,25,437.0,0.10274068790290777,25,437.0
55.0,26,563.0,16.558823529411764,2.352899806206741,26,563.0,0.0413276639523453,26,563.0
60.0,28,701.0,20.02857142857143,1.24985793281394,28,701.0,0.06418492173715486,28,701.0
65.0,34,855.0,21.375,1.0009243447037344,34,855.0,0.07454886596254791,34,855.0
70.0,38,1034.0,25.21951219512195,0.9393181541477069,38,1035.0,0.06955111710891997,38,1035.0
75.0,38,1224.0,28.46511627906977,1.531325636694435,38,1225.0,0.06922987105777095,38,1225.0
80.0,32,1042.0,23.155555555555555,2.2828245448353486,32,1276.0,0.10761785565416918,32,1276.0
85.0,24,666.0,14.8,3.6439974408413884,24,1179.0,0.14694860925543193,24,1179.0
90.0,16,402.0,8.73913043478261,4.012268794622369,16,1210.0,0.17376176251399336,16,1210.0
95.0,11,139.0,3.2325581395348837,4.2532896403598945,11,1275.0,0.1892430093436636,11,1275.0
100.0,13,82.0,1.9523809523809523,4.230622789777514,13,1333.0,0.18970012618819387,13,1333.0
105.0,21,171.0,3.8,3.571365338968144,21,1422.0,0.15627625357777905,21,1422.0
110.0,27,292.0,6.9523809523809526,2.0232221783698567,27,1543.0,0.06591825311975236,27,1543.0
115.0,35,452.0,10.044444444444444,1.9662188965479146,35,1704.0,0.07224738126794766,35,1704.0
120.0,32,461.0,10.720930232558139,1.8928647864652233,32,1717.0,0.06755497561786372,32,1717.0
125.0,22,348.0,8.093023255813954,3.86578498851269,22,1456.0,0.13696696695519656,22,1456.0
130.0,15,251.0,5.704545454545454,5.058900907623217,15,1468.0,0.20207170717429004,15,1468.0
135.0,11,120.0,2.926829268292683,4.5302641866444775,11,1529.0,0.21070191469954022,11,1529.0
140.0,12,66.0,1.736842105263158,3.965894400241058,12,1578.0,0.19192087903983363,12,1578.0
145.0,20,145.0,3.625,2.6839342868828777,20,1657.0,0.11124477474978026,20,1657.0
150.0,26,255.0,6.219512195121951,1.7785514824585624,26,1769.0,0.09633682046198376,26,1769.0
155.0,34,406.0,9.666666666666666,1.1359953430266319,34,1920.0,0.02758743418631876,34,1920.0
160.0,38,583.0,13.880952380952381,1.088877069557589,38,2099.0,0.02391197671236619,38,2099.0
165.0,38,773.0,17.976744186046513,1.3464875598853951,38,2289.0,0.04931336331736022,38,2289.0
170.0,32,732.0,17.428571428571427,1.3885651409328938,32,2251.0,0.06926171330690842,32,2251.0
175.0,23,536.0,12.761904761904763,3.198755020192697,23,1968.0,0.14507072273304564,23,1968.0
180.0,17,377.0,8.976190476190476,3.352796381800068,17,2058.0,0.11799525200887823,17,2058.0
185.0,15,210.0,5.25,3.164811397207465,15,2138.0,0.08679208012439944,15,2138.0
190.0,17,110.0,2.972972972972973,2.7810158158517924,17,2213.0,0.11240595464838356,17,2213.0
195.0,22,207.0,5.3076923076923075,1.664678198455753,22,2310.0,0.11383003307170067,22,2310.0
200.0,31,345.0,8.023255813953488,2.0732008558856374,31,2448.0,0.11858896706458837,31,2448.0
205.0,37,519.0,11.533333333333333,2.195159697882575,37,2623.0,0.09159909957532082,37,2623.0
210.0,38,709.0,16.113636363636363,1.8443968491219216,38,2813.0,0.023908407449507795,38,2813.0
