step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
95.0,29,745.0,13.070175438596491,5.208218631641703,29,765.0,0.24275922944869552,29,765.0,False,,
100.0,32,891.0,15.362068965517242,4.506563790393269,32,891.0,0.1778876451823841,32,891.0,False,,
105.0,32,1051.0,19.10909090909091,4.291078172383081,32,1051.0,0.14973433090310195,32,1051.0,False,,
110.0,36,1222.0,21.06896551724138,2.932174174584374,36,1222.0,0.08239283792254098,36,1222.0,False,,
115.0,40,1411.0,23.516666666666666,3.439174296791775,40,1411.0,0.18259165717825765,40,1411.0,False,,
120.0,40,1606.0,28.678571428571427,2.8742419487439825,40,1606.0,0.15589334032243626,40,1606.0,False,,
125.0,45,1822.0,30.366666666666667,2.0843900527575325,45,1822.0,0.10124705974688199,45,1822.0,False,,
130.0,50,2059.0,32.171875,1.9968952192495415,50,2059.0,0.07118324802828477,50,2059.0,False,,
135.0,52,2315.0,36.171875,1.8065052973055928,52,2315.0,0.09835792515608137,52,2315.0,False,,
140.0,49,1946.0,29.044776119402986,1.588853495864704,49,2326.0,0.0751248812487282,49,2326.0,False,,
145.0,53,1815.0,24.527027027027028,2.4618994229506828,53,2178.0,0.09627142708574386,53,2178.0,False,,
150.0,44,2028.0,26.68421052631579,3.5734318578103377,44,2080.0,0.14296428603030586,44,2080.0,False,,
155.0,51,2277.0,31.625,3.381836190286473,51,2277.0,0.11777671168390755,51,2277.0,False,,
160.0,55,2543.0,37.95522388059702,1.6011349072344285,55,2543.0,0.011857899939473567,55,2543.0,False,,
165.0,59,2828.0,42.208955223880594,1.0984812424812267,59,2828.0,0.0325290705691914,59,2828.0,False,,
170.0,60,3118.0,46.53731343283582,1.1474495433060836,60,3118.0,0.0788287683239234,60,3118.0,False,,
175.0,59,3411.0,50.161764705882355,0.997561450764682,59,3411.0,0.07789391426443915,59,3411.0,False,,
180.0,61,3710.0,53.0,1.1192881362350597,61,3710.0,0.05974567582214657,61,3710.0,False,,
185.0,64,4020.0,51.53846153846154,1.1441702854961455,64,4020.0,0.06256390826085347,64,4020.0,False,,
190.0,68,4351.0,55.075949367088604,1.3420304441422433,68,4351.0,0.08778685354612827,68,4351.0,False,,
195.0,72,4700.0,58.75,0.6981107741190803,72,4700.0,0.024971174281557925,72,4700.0,False,,
200.0,76,5071.0,60.36904761904762,0.6315734561393767,76,5071.0,0.02485223080590849,76,5071.0,False,,
205.0,80,5457.0,64.2,0.5860661916129677,80,5457.0,0.03252383339164733,80,5457.0,False,,
210.0,80,5852.0,69.66666666666667,0.5499526098887414,80,5852.0,0.04073446691915258,80,5852.0,False,,
215.0,82,6254.0,72.72093023255815,0.5077266454006589,82,6254.0,0.017730490005138145,82,6254.0,False,,
220.0,80,6243.0,66.41489361702128,0.8957580784947363,80,6508.0,0.03626540357858689,80,6508.0,False,,
225.0,70,6157.0,65.5,1.8533732493822976,70,6546.0,0.08178178103866247,70,6546.0,False,,
230.0,66,6219.0,64.78125,1.6547435228900138,66,6881.0,0.06047851130697091,66,6881.0,False,,
235.0,71,6445.0,67.13541666666667,1.2808609514000215,71,7217.0,0.03349551279287374,71,7217.0,False,,
240.0,73,6792.0,73.03225806451613,0.8876524779257855,73,7568.0,0.04690897830354569,73,7568.0,False,,
245.0,80,7175.0,77.15053763440861,0.46822960539129965,80,7951.0,0.03666339717064597,80,7951.0,False,,
250.0,86,7593.0,79.92631578947369,0.33114861278550456,86,8369.0,0.026016396173380505,86,8369.0,False,,
255.0,88,7121.0,70.5049504950495,0.5247509487030373,88,8482.0,0.02016113453092785,88,8482.0,False,,
260.0,80,6639.0,63.83653846153846,1.69285254463273,80,8315.0,0.06688367081141747,80,8315.0,False,,
265.0,71,5693.0,55.271844660194176,2.002997119217333,71,8024.0,0.06811615363103644,71,8024.0,False,,
270.0,69,4221.0,43.07142857142857,1.8231227605225182,69,7399.0,0.047956833126771285,69,7399.0,False,,
275.0,67,3257.0,33.577319587628864,2.383698890921372,67,6809.0,0.06683506953007884,67,6809.0,False,,
280.0,62,2271.0,24.159574468085108,3.1391436690656414,62,6258.0,0.10847677012595366,62,6258.0,False,,
285.0,57,1899.0,22.08139534883721,3.1527441879405735,57,5727.0,0.1353119590611876,57,5727.0,False,,
290.0,59,2191.0,24.076923076923077,3.3427539765269683,59,5104.0,0.1309588359890495,59,5104.0,False,,
295.0,60,2486.0,27.622222222222224,3.6502642605756233,60,4555.0,0.14919877613608856,60,4555.0,False,,
300.0,59,2781.0,31.602272727272727,3.5887982378837364,59,4327.0,0.13334850025399092,59,4327.0,False,,
