step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
200.0,39,3745.0,72.01923076923077,2.8376326466634794,19,2003.0,0.0932654182375299,0,0.0,0.9977148414562693,19,1742.0,0.15778256083768596,1,2.0,0.4680113900316468,39,3747.0
205.0,40,3942.0,77.29411764705883,2.2097849754707437,20,2100.0,0.04780469178381726,0,0.0,0.9349010973302838,19,1835.0,0.1308846505795031,1,7.0,0.488551212824133,40,3942.0
210.0,41,4134.0,84.36734693877551,1.1856496665160683,21,2203.0,0.029129318452616713,0,0.0,1.0,20,1931.0,0.0366977041378179,0,0.0,0.7534530550224225,41,4134.0
215.0,41,4326.0,86.52,1.4336232882709325,19,2296.0,0.05805191292805289,0,0.0,1.0,22,2038.0,0.0007738419978341328,0,0.0,0.9471124710382505,41,4334.0
220.0,39,4508.0,90.16,1.937611819338996,19,2383.0,0.09237036550838156,0,0.0,1.0,20,2141.0,0.08777289843162696,0,0.0,0.01187596627296898,39,4524.0
225.0,36,4104.0,85.5,1.9627015401669687,16,2270.0,0.06438279251358955,0,0.0,1.0,19,2222.0,0.11836270992485728,1,5.0,3.484099939483527e-05,36,4497.0
230.0,31,2830.0,56.6,2.5898210867421843,12,1952.0,0.07796047666771119,0,2.0,0.8168028302545783,19,2117.0,0.03297232865978564,0,0.0,1.0,31,4071.0
235.0,23,1544.0,30.274509803921568,4.196808655202765,8,1821.0,0.10015986595512562,0,2.0,0.93070445785224,15,1813.0,0.07882537385541658,0,2.0,0.8449729172529755,23,3638.0
240.0,14,590.0,11.8,4.331159482293327,5,1849.0,0.173210887511632,1,4.0,0.5051571920368066,8,1670.0,0.18816344403721946,0,2.0,0.8836473543114508,14,3525.0
245.0,16,208.0,4.16,4.02400849642214,7,1879.0,0.20871516388388203,3,16.0,0.27777907572007865,5,1678.0,0.20502011120298558,1,5.0,0.5418135390680984,16,3578.0
250.0,24,170.0,3.269230769230769,3.2814092834648445,10,1923.0,0.11282177725442114,4,36.0,0.020578072106251646,7,1695.0,0.15733351648007624,3,17.0,0.3289932917256529,24,3671.0
255.0,31,307.0,5.685185185185185,2.6565724773504766,13,1982.0,0.06391026779570719,4,57.0,0.048341898702111516,10,1736.0,0.10540131636360348,4,37.0,4.0262278840194805e-06,31,3812.0
260.0,39,486.0,9.0,2.1211318081365227,17,2061.0,0.04734764865254483,4,76.0,0.1824470387902274,14,1796.0,0.06484435664730874,4,59.0,0.27256555039635255,39,3992.0
265.0,44,700.0,13.20754716981132,1.4453455281029275,19,2154.0,0.04464185002363747,4,96.0,0.1858823611686145,17,1877.0,0.01778113420367701,4,79.0,0.28689853880101873,44,4206.0
270.0,48,932.0,18.274509803921568,0.37965642922417525,19,2249.0,8.393223375321138e-07,5,117.0,8.40231959729476e-05,20,1973.0,0.04653599168490361,4,99.0,0.0959478797886801,48,4438.0
275.0,49,1170.0,22.5,0.6005866832327029,19,2344.0,0.05000045259413882,5,142.0,0.0,19,2066.0,0.04737823379076971,6,124.0,0.00026397250430672833,49,4676.0
280.0,46,1389.0,26.20754716981132,1.3019053837147267,19,2439.0,0.047068968697868654,4,156.0,0.2,19,2161.0,6.360651907419221e-07,4,141.0,0.041687042777753605,46,4897.0
285.0,43,1487.0,27.537037037037038,2.120296027947811,19,2534.0,6.143684039787397e-07,4,176.0,0.30826326804103993,16,2030.0,0.02040556442013515,4,159.0,0.18950091614468775,43,4899.0
290.0,38,1495.0,26.696428571428573,3.195362190751697,19,2629.0,0.046511816143277936,4,196.0,0.39602218561309277,11,1697.0,0.14638992219400213,4,181.0,0.41400292293675617,38,4703.0
295.0,34,1351.0,24.563636363636363,2.7928549112387957,16,2489.0,0.06547731623359375,5,217.0,0.25706163565924667,8,1561.0,0.172984995651429,5,202.0,0.37186805777045173,34,4469.0
300.0,27,1092.0,20.60377358490566,2.149017001021983,12,2105.0,0.08086217678049779,5,244.0,0.2348026818359461,5,1591.0,0.11296427490191553,5,222.0,0.10016040860825837,27,4162.0
305.0,27,882.0,16.641509433962263,2.403859970769121,8,2152.0,0.08289807652110634,4,259.0,0.27343346757741177,7,1622.0,0.11321134563838274,8,257.0,0.00019427286423449156,27,4290.0
310.0,30,769.0,13.981818181818182,2.097173273372286,7,2189.0,0.07146711686659361,5,280.0,0.13692275720588812,10,1665.0,0.09960200289703174,8,299.0,0.18806043707269063,30,4433.0
315.0,35,832.0,15.407407407407407,1.5780650156293985,8,2221.0,0.08248045289476333,7,312.0,0.12483069256363108,12,1723.0,0.0668158583944755,8,339.0,0.248323640679976,35,4595.0
320.0,45,1033.0,17.508474576271187,1.0227644503711124,11,2270.0,0.08864362547162905,7,347.0,0.11528263048020877,18,1799.0,0.002324656004707715,9,380.0,0.16364539002498316,45,4796.0
325.0,50,1194.0,20.23728813559322,0.8259268647022355,15,2337.0,0.055602061563542124,7,382.0,0.1177700907313029,17,1685.0,0.018468448066476812,11,431.0,0.07821996895708598,50,4835.0
330.0,45,1287.0,21.098360655737704,1.7277624749195806,18,2423.0,0.0009019358170999804,7,417.0,0.2142295150184822,12,1233.0,0.10993490710463519,8,472.0,0.21657744500420675,45,4545.0
335.0,40,1312.0,21.508196721311474,2.1586854346912534,16,2264.0,0.016674784889564163,7,452.0,0.11778395557735304,8,1268.0,0.15459612908200102,9,501.0,0.18228636116735575,40,4485.0
340.0,36,1289.0,20.79032258064516,2.931980267569903,11,1857.0,0.06837666908612243,7,489.0,0.26984692279997885,6,1300.0,0.11554486627521215,12,555.0,0.1158958254481773,36,4201.0
345.0,31,1253.0,19.88888888888889,2.9012856805390217,8,1901.0,0.1367037156651028,7,524.0,0.23749221836832837,4,1165.0,0.14178169152230088,12,615.0,0.11999234188765211,31,4205.0
350.0,31,1301.0,21.327868852459016,2.32808964550302,7,1937.0,0.18171243654451508,10,570.0,0.15751917676287086,2,873.0,0.15774257054606006,12,677.0,0.10574176400953395,31,4057.0
355.0,35,1412.0,22.774193548387096,1.4751572115103875,8,1972.0,0.12461539804682627,10,620.0,0.08658524320131646,1,879.0,0.11504263569755828,16,748.0,0.05712124255989776,35,4219.0
360.0,41,1594.0,24.523076923076925,1.1337546998735484,11,2021.0,0.03341297812785443,10,670.0,0.0,5,895.0,0.13546865081218298,15,821.0,0.11555750257702704,41,4407.0
365.0,47,1815.0,27.923076923076923,1.1694690251079705,15,2088.0,0.011417532951903031,10,720.0,0.0,7,925.0,0.12239374790349107,15,890.0,0.1142813960531603,47,4623.0
370.0,54,2064.0,29.91304347826087,1.2886184122186433,18,2165.0,0.0013095978437323021,10,770.0,0.08718750935416526,11,972.0,0.03243044312711204,15,965.0,0.0,54,4872.0
375.0,58,2346.0,33.51428571428571,1.4794890933468903,19,2259.0,6.277670560186342e-05,10,820.0,0.22456875059080442,14,1038.0,0.059094498623088444,15,1040.0,6.966072712970754e-07,58,5157.0
380.0,56,2464.0,36.23529411764706,1.2934357938399423,16,2084.0,0.01632747874578346,10,870.0,0.16273233058035103,15,942.0,0.06898677480401812,15,1115.0,0.0609120788048097,56,5011.0
385.0,47,2460.0,36.71641791044776,1.6460680532474845,11,1651.0,0.0806336025391993,10,922.0,0.24170363010573565,11,676.0,0.07301202163758173,15,1192.0,0.0666974264243786,47,4441.0
390.0,48,2503.0,36.80882352941177,1.163780152506354,8,1484.0,0.16984764785981843,13,980.0,0.03533296353453742,9,728.0,0.08242592946067712,18,1275.0,1.875541623277718e-05,48,4467.0
395.0,47,2535.0,36.214285714285715,1.5115036133918085,7,1518.0,0.1626658865104449,14,1041.0,0.12783849172660078,8,769.0,0.066142011708903,18,1365.0,0.0,47,4693.0
400.0,47,2637.0,37.140845070422536,1.9303935659464084,7,1547.0,0.15841735467845947,14,1108.0,0.1719490926555594,8,794.0,0.07964154633555061,18,1457.0,0.09444684697893449,47,4906.0
405.0,54,2893.0,37.57142857142857,1.9872795806513404,10,1590.0,0.11544336440661615,14,1178.0,0.15991677596183015,12,847.0,0.08375166902329836,18,1547.0,0.17239080659926687,54,5162.0
