step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
665.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
670.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
675.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
680.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
685.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
690.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
695.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
700.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
705.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
710.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
715.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
720.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
725.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
730.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
735.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
740.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
745.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
750.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
755.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
760.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
765.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
770.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
775.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
780.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
785.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
790.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
795.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
800.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
805.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
810.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
815.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
820.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
825.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
830.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
835.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
840.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
845.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
850.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
855.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
860.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
865.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
870.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
875.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
880.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
885.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
890.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
895.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
900.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
905.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
910.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
915.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
920.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
925.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
930.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
935.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
940.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
945.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
950.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
955.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
960.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
965.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
970.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
975.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
980.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
985.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
990.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
995.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1000.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1005.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1010.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1015.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1020.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1025.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1030.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1035.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1040.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1045.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1050.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1055.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1060.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1065.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1070.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1075.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1080.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1085.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1090.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1095.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1100.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1105.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1110.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1115.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1120.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1125.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1130.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1135.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1140.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1145.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1150.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1155.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1160.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1165.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1170.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1175.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
1180.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
