step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.5138162041160586,0,0.0,0.40972464255361946,0,0.0
10.0,0,0.0,0.0,11.294364266418883,0,0.0,0.8261567559100894,0,0.0
15.0,0,0.0,0.0,9.365520947477258,0,0.0,0.6511195970660962,0,0.0
20.0,6,16.0,0.6666666666666666,6.1400306156109075,6,16.0,0.34923002827363886,6,16.0
25.0,14,60.0,2.142857142857143,5.698419255690463,14,60.0,0.33515539918143583,14,60.0
30.0,14,119.0,4.576923076923077,3.7290842754402553,14,119.0,0.28601547387221155,14,119.0
35.0,20,204.0,7.285714285714286,3.1360641925834787,20,204.0,0.23629389229605596,20,204.0
40.0,25,305.0,7.625,1.9634731981544262,25,305.0,0.1472649083712389,25,305.0
45.0,26,430.0,10.238095238095237,3.5403774212731207,26,430.0,0.2584184808278729,26,430.0
50.0,26,472.0,10.26086956521739,2.6690431857893646,26,500.0,0.1799823666823819,26,500.0
55.0,36,621.0,11.942307692307692,2.529074970162407,36,621.0,0.1028797686810107,36,621.0
60.0,32,777.0,14.942307692307692,3.034246511690945,32,781.0,0.11224099857083471,32,781.0
65.0,39,963.0,18.169811320754718,2.359571371499732,39,963.0,0.07611810449955585,39,963.0
70.0,40,1163.0,21.537037037037038,2.042707870734727,40,1163.0,0.08644437131954623,40,1163.0
75.0,45,1372.0,23.655172413793103,1.0320169511984558,45,1372.0,0.06489104175627862,45,1372.0
80.0,47,1604.0,25.0625,2.0725172746140275,47,1604.0,0.13506912411224783,47,1604.0
85.0,58,1858.0,27.323529411764707,1.5594248506831534,58,1858.0,0.09368766829366901,58,1858.0
90.0,58,2138.0,31.441176470588236,1.246274318921783,58,2138.0,0.042687538441953964,58,2138.0
95.0,62,2435.0,33.81944444444444,1.074997953504923,62,2435.0,0.02931109290214206,62,2435.0
100.0,68,2758.0,35.35897435897436,1.2995602525033467,68,2758.0,0.05014714431701058,68,2758.0
105.0,70,3099.0,40.776315789473685,0.16691155225426713,70,3099.0,0.010415893702947527,70,3099.0
110.0,76,3472.0,41.333333333333336,0.10768640058986319,76,3472.0,0.007791133314694884,76,3472.0
115.0,80,3870.0,45.0,0.6517551079243687,80,3870.0,0.04787361751595486,80,3870.0
120.0,80,4270.0,49.651162790697676,0.9004244225199273,80,4270.0,0.06671092165226936,80,4270.0
125.0,77,4558.0,53.0,0.5179814279281792,77,4593.0,0.028597196040742765,77,4593.0
130.0,80,4951.0,56.26136363636363,1.0019273156604114,80,4951.0,0.00794512432316093,80,4951.0
135.0,76,5317.0,60.42045454545455,1.3568539059298153,76,5326.0,0.0274173807514295,76,5326.0
140.0,76,5697.0,68.63855421686748,1.03962134885009,76,5697.0,0.02225172291619054,76,5697.0
145.0,82,6079.0,70.68604651162791,0.595059263081499,82,6079.0,6.380892884450634e-05,82,6079.0
150.0,76,6457.0,76.86904761904762,0.7329399854237919,76,6457.0,0.04145583515493271,76,6457.0
155.0,76,6837.0,81.39285714285714,1.2863173199404985,76,6837.0,0.06800280702128016,76,6837.0
160.0,76,7217.0,85.91666666666667,1.0361979358465394,76,7217.0,0.0248684878975996,76,7217.0
165.0,78,7606.0,90.54761904761905,0.7838061482435473,78,7606.0,0.006078419423602872,78,7606.0
170.0,78,7996.0,98.71604938271605,0.5254438915448683,78,7996.0,0.022989189331216058,78,7996.0
175.0,76,8357.0,104.4625,0.4663050643064238,76,8357.0,0.02126857173198884,76,8357.0
180.0,76,8737.0,109.2125,0.658948806684769,76,8737.0,0.0,76,8737.0
185.0,76,9117.0,106.01162790697674,1.0230152880425227,76,9117.0,0.032246113606358213,76,9117.0
190.0,76,9497.0,115.8170731707317,0.9188078339216406,76,9497.0,0.06591262276711216,76,9497.0
195.0,76,9877.0,120.45121951219512,0.7598728231402309,76,9877.0,0.03172987269650563,76,9877.0
200.0,77,10258.0,122.11904761904762,0.5385208974682852,77,10258.0,0.004597104024516646,77,10258.0
205.0,78,10648.0,128.289156626506,0.7635843751048567,78,10648.0,0.021543256300391316,78,10648.0
210.0,78,11038.0,134.609756097561,0.6451537169565447,78,11038.0,0.0236215228600747,78,11038.0
215.0,73,10272.0,128.4,0.2398916357124253,73,11030.0,0.008060293001484607,73,11030.0
220.0,66,8871.0,103.15116279069767,1.4413055338367908,66,10611.0,0.05020469356250331,66,10611.0
225.0,54,7878.0,91.6046511627907,2.6696611604288947,54,10491.0,0.10884944371026721,54,10491.0
230.0,52,7038.0,86.88888888888889,2.1414137100416384,52,10757.0,0.10627650141726575,52,10757.0
235.0,56,6546.0,81.825,1.6079248222584623,56,11017.0,0.048060207914741075,56,11017.0
