step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
375.0,11,49.0,1.1951219512195121,3.344332046621624,11,226.0,0.123663303258184,11,226.0,False,,
380.0,9,42.0,1.0,4.1180306415751495,9,224.0,0.18070447325624533,9,224.0,False,,
385.0,7,24.0,0.5581395348837209,4.686390780267531,7,174.0,0.21513840891341213,7,174.0,False,,
390.0,7,16.0,0.4,4.2796614026698565,7,188.0,0.13010105718410198,7,188.0,False,,
395.0,11,39.0,1.0263157894736843,3.3538262891580923,11,236.0,0.09771978989613202,11,236.0,False,,
400.0,8,30.0,0.8571428571428571,3.1660290908102655,8,229.0,0.12744143226421553,8,229.0,False,,
405.0,7,20.0,0.5714285714285714,4.284383059570305,7,181.0,0.19260612725170065,7,181.0,False,,
410.0,5,10.0,0.2564102564102564,5.063054006202923,5,169.0,0.22069110604332579,5,169.0,False,,
415.0,7,24.0,0.6486486486486487,3.6455177133309844,7,197.0,0.17990885776420765,7,197.0,False,,
420.0,7,17.0,0.5,3.023555198922638,7,190.0,0.19469501642145773,7,190.0,False,,
425.0,4,11.0,0.275,4.5389902225997485,4,147.0,0.2212865736142437,4,147.0,False,,
430.0,3,5.0,0.12195121951219512,4.437009415485629,3,138.0,0.20204799265872456,3,138.0,False,,
435.0,10,36.0,0.8571428571428571,4.264258882536762,10,169.0,0.15840955398680912,10,169.0,False,,
440.0,8,32.0,0.8421052631578947,3.7764748852777843,8,173.0,0.16861750134050368,8,173.0,False,,
445.0,6,15.0,0.38461538461538464,4.172664926410884,6,131.0,0.18233132742424393,6,131.0,False,,
450.0,6,11.0,0.275,4.534184259831445,6,135.0,0.17203379386063056,6,135.0,False,,
455.0,10,42.0,1.105263157894737,3.640835986466384,10,172.0,0.13272408103173397,10,172.0,False,,
460.0,9,41.0,1.1714285714285715,2.8554769166857104,9,181.0,0.1159206932075623,9,181.0,False,,
465.0,7,18.0,0.47368421052631576,3.980914725467302,7,144.0,0.1750983269802592,7,144.0,False,,
470.0,7,17.0,0.4146341463414634,3.852293385224524,7,169.0,0.16731130357025348,7,169.0,False,,
475.0,10,42.0,1.024390243902439,3.750305935347621,10,212.0,0.17773788122011924,10,212.0,False,,
480.0,9,35.0,0.875,3.764006650282026,9,214.0,0.19908198822267845,9,214.0,False,,
485.0,10,30.0,0.6818181818181818,4.575984551890751,10,179.0,0.23015648567326338,10,179.0,False,,
490.0,8,13.0,0.28888888888888886,4.719816303783972,8,198.0,0.22149639957909747,8,198.0,False,,
495.0,9,33.0,0.7333333333333333,4.920738507592882,9,243.0,0.19264853591558465,9,243.0,False,,
500.0,9,40.0,0.975609756097561,4.073086627136673,9,252.0,0.1452887789089622,9,252.0,False,,
505.0,10,33.0,0.7674418604651163,4.346645239787166,10,226.0,0.19186555775464004,10,226.0,False,,
510.0,8,15.0,0.35714285714285715,4.0289977734961715,8,251.0,0.17099380204347125,8,251.0,False,,
515.0,12,39.0,0.8666666666666667,4.544832236513626,12,292.0,0.2270401752351559,12,292.0,False,,
520.0,9,34.0,0.7906976744186046,4.219240785806085,9,295.0,0.21290254507478357,9,295.0,False,,
525.0,7,20.0,0.46511627906976744,4.455880605359426,7,237.0,0.19686871389234373,7,237.0,False,,
530.0,3,7.0,0.1590909090909091,4.298411383801596,3,241.0,0.18187858953325264,3,241.0,False,,
535.0,8,30.0,0.6976744186046512,4.2894413205419335,8,268.0,0.1772822224799909,8,268.0,False,,
540.0,9,32.0,0.7804878048780488,4.2718110150042445,9,258.0,0.17795208885872216,9,258.0,False,,
545.0,8,18.0,0.4186046511627907,5.200434570756783,8,179.0,0.20680735415320248,8,179.0,False,,
550.0,4,9.0,0.21951219512195122,4.963317757609763,4,174.0,0.1786448650380849,4,174.0,False,,
555.0,10,29.0,0.725,4.354140975369271,10,212.0,0.1704410442352689,10,212.0,False,,
560.0,6,24.0,0.6486486486486487,4.330001400898284,6,205.0,0.222848114526948,6,205.0,False,,
565.0,5,7.0,0.175,4.714180273900306,5,150.0,0.25568617367908153,5,150.0,False,,
570.0,3,4.0,0.09090909090909091,4.769206862991598,3,150.0,0.2489109653794754,3,150.0,False,,
575.0,7,26.0,0.5909090909090909,4.666299573212644,7,177.0,0.2116374148018913,7,177.0,False,,
580.0,7,22.0,0.5365853658536586,4.301800020221744,7,173.0,0.16436509953254608,7,173.0,False,,
585.0,6,17.0,0.425,4.013266117647215,6,140.0,0.16041436835185302,6,140.0,False,,
590.0,3,10.0,0.2564102564102564,4.331374186588617,3,129.0,0.1415792841710511,3,129.0,False,,
595.0,10,30.0,0.7894736842105263,3.9122112610279545,10,160.0,0.14130211903153445,10,160.0,False,,
600.0,7,23.0,0.6571428571428571,3.649249316833817,7,166.0,0.19563125207826718,7,166.0,False,,
605.0,5,12.0,0.3157894736842105,4.47269203544186,5,131.0,0.24064574163503946,5,131.0,False,,
