step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
400.0,56,907.0,10.191011235955056,1.7895814089645317,56,3194.0,0.05889504248084989,56,3194.0
405.0,53,952.0,10.942528735632184,2.2922085860726753,53,3242.0,0.11122399006384635,53,3242.0
410.0,53,900.0,10.344827586206897,2.315728187534036,53,3082.0,0.1046133483490021,53,3082.0
415.0,55,874.0,10.045977011494253,2.2364561255027673,55,2789.0,0.059018283158984226,55,2789.0
420.0,52,896.0,10.298850574712644,3.0897012299962134,52,2654.0,0.09631558614160299,52,2654.0
425.0,49,958.0,11.682926829268293,3.1488901723478726,49,2806.0,0.1385811264181193,49,2806.0
430.0,56,1218.0,15.417721518987342,2.245780618225916,56,3066.0,0.08441048541609217,56,3066.0
435.0,54,1204.0,14.682926829268293,1.6212894162582736,54,3179.0,0.07080159863355391,54,3179.0
440.0,58,1383.0,16.464285714285715,2.433577537979553,58,3257.0,0.11149706077028555,58,3257.0
445.0,68,1692.0,19.674418604651162,1.9728863390677596,68,3566.0,0.07815560610038404,68,3566.0
450.0,72,2046.0,24.357142857142858,0.6668204310070367,72,3920.0,0.012805885488230983,72,3920.0
455.0,75,2379.0,27.03409090909091,0.7573214967720872,75,4231.0,0.021844346444346047,75,4231.0
460.0,76,2746.0,31.930232558139537,1.3610979373753223,76,4529.0,0.029883007084836075,76,4529.0
465.0,71,2707.0,31.476744186046513,1.3843444234063516,71,4575.0,0.014439475648132654,71,4575.0
470.0,63,2385.0,28.058823529411764,1.6057435563643527,63,4387.0,0.03691818222421819,63,4387.0
475.0,55,2154.0,25.341176470588234,2.383937284136174,55,4545.0,0.09136272533271232,55,4545.0
480.0,52,1864.0,23.012345679012345,2.1328378645719313,52,4809.0,0.1137999185520213,52,4809.0
485.0,48,1770.0,22.692307692307693,1.1427252427016876,48,4813.0,0.06262623926838823,48,4813.0
490.0,52,1979.0,24.134146341463413,1.6955918686070797,52,4631.0,0.06391127049692888,52,4631.0
495.0,44,1793.0,21.345238095238095,2.221282142487305,44,4528.0,0.08506294380028914,44,4528.0
500.0,39,1356.0,16.337349397590362,2.7028900828676496,39,4169.0,0.09219200361399058,39,4169.0
505.0,37,930.0,11.481481481481481,2.4880912187316664,37,4169.0,0.09224167223884557,37,4169.0
510.0,38,525.0,6.176470588235294,2.4783985280886878,38,4305.0,0.09589704299832653,38,4305.0
515.0,46,509.0,6.132530120481928,2.583121510321403,46,4514.0,0.121880868662047,46,4514.0
520.0,55,647.0,7.890243902439025,1.2305210722232391,55,4714.0,0.06291065374260568,55,4714.0
525.0,66,953.0,11.211764705882352,1.2160102224599745,66,4959.0,0.03098429234640729,66,4959.0
530.0,75,1306.0,14.840909090909092,1.5283889330140483,75,5312.0,0.027224949952371173,75,5312.0
535.0,78,1688.0,20.095238095238095,0.8991935990237787,78,5695.0,0.021766788112937786,78,5695.0
540.0,74,1877.0,23.4625,0.28431751413590944,74,5792.0,0.008911812150317241,74,5792.0
545.0,64,1922.0,22.348837209302324,1.6953589499002943,64,5608.0,0.06778895654326189,64,5608.0
550.0,58,1980.0,23.023255813953487,2.419788321334382,58,5785.0,0.11211830956546702,58,5785.0
555.0,55,2055.0,25.0609756097561,1.6204513304463408,55,6064.0,0.06434004227367841,55,6064.0
560.0,53,1825.0,22.25609756097561,1.2598897935372073,53,6000.0,0.05058639866908172,53,6000.0
565.0,52,1483.0,17.654761904761905,1.9728310023803053,52,5515.0,0.06979892677667862,52,5515.0
570.0,51,1269.0,15.107142857142858,2.788379139124768,51,5069.0,0.08435598992035874,51,5069.0
575.0,51,941.0,11.475609756097562,2.973071734143312,51,4699.0,0.08726965995501246,51,4699.0
580.0,47,721.0,8.792682926829269,2.7545602973397774,47,4827.0,0.12679816467668203,47,4827.0
585.0,48,936.0,11.555555555555555,3.4453435044186356,48,4917.0,0.1591022036972137,48,4917.0
590.0,49,1134.0,13.829268292682928,2.706905448837596,49,4903.0,0.10947366923295565,49,4903.0
595.0,50,1316.0,16.048780487804876,1.9346385747221286,50,4627.0,0.05682379019814016,50,4627.0
600.0,48,1533.0,18.695121951219512,2.045883122790612,48,4857.0,0.0704885167620815,48,4857.0
605.0,53,1780.0,22.25,1.3923921101996335,53,5106.0,0.06199158779529278,53,5106.0
610.0,58,2059.0,25.7375,1.1292047124986742,58,5386.0,0.03352474499765886,58,5386.0
615.0,59,2279.0,26.811764705882354,1.0564223804468345,59,5466.0,0.04267209206845778,59,5466.0
620.0,55,2459.0,28.593023255813954,2.1341390079310982,55,5442.0,0.09898371547794235,55,5442.0
625.0,56,2669.0,30.329545454545453,2.6146362194693142,56,5572.0,0.10605379559485381,56,5572.0
630.0,58,2893.0,35.28048780487805,1.2188978843786222,58,5858.0,0.042994690455447813,58,5858.0
635.0,54,2851.0,34.76829268292683,1.2920172918895718,54,5994.0,0.06794590555197327,54,5994.0
640.0,59,3097.0,36.86904761904762,1.6414346344021087,59,6110.0,0.07161106508634917,59,6110.0
645.0,60,3294.0,38.30232558139535,1.4421691491017006,60,6230.0,0.03582903854613872,60,6230.0
650.0,62,3463.0,39.35227272727273,1.6284323631046898,62,6198.0,0.0408571142042212,62,6198.0
655.0,57,3656.0,41.54545454545455,2.545330878591455,57,6376.0,0.09520775078202214,57,6376.0
660.0,54,3836.0,45.666666666666664,2.365685896565929,54,6649.0,0.11696640521035177,54,6649.0
665.0,56,4055.0,50.6875,1.206681139614012,56,6917.0,0.05337077192267771,56,6917.0
